Time,Reinforcers,Quarter,Pecks,Event,x,y
0:00:00.007456,0,1,0,Start,0,0
0:00:03.396641,0,1,0,peck,0.32649071358748777,0.7545909849749582
0:00:03.641670,0,1,1,green,0,0
0:00:04.180494,0,1,1,warning-1,0,0
0:00:04.181303,0,1.0,1,peck,0.32649071358748777,0.7545909849749582
0:00:04.875874,0,1.0,2,green,0,0
0:00:04.876499,0,1.0,2,peck,0.32649071358748777,0.7545909849749582
0:00:04.877769,0,1.0,3,green,0,0
0:00:04.878345,0,1.0,3,peck,0.32649071358748777,0.7562604340567612
0:00:04.879723,0,1.0,4,green,0,0
0:00:04.880175,0,1.0,4,peck,0.32649071358748777,0.7562604340567612
0:00:04.881208,0,1.0,5,green,0,0
0:00:04.957831,0,1.0,5,punishment,0,0
0:00:04.958838,0,1.0,5,peck,0.32649071358748777,0.7562604340567612
0:00:05.064875,0,1.0,5,peck,0.32649071358748777,0.7562604340567612
