reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:00.005109,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:01.235807,0,1,0,peck,0.03266157053509382,0.014460511679644017,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:01.445347,0,1,0,peck,0.031966643502432245,0.014460511679644017,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:01.927789,0,1,0,peck,0.054204308547602505,0.015572858731924377,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:02.320870,0,1,0,peck,0.2050034746351633,0.016685205784204626,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:02.543070,0,1,0,peck,0.26059763724808893,0.016685205784204626,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:02.738745,0,1,0,peck,0.33564975677553854,0.021134593993325956,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:02.899653,0,1,0,peck,0.448227936066713,0.015572858731924377,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:03.084042,0,1,0,peck,0.5239749826268242,0.015572858731924377,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:03.269048,0,1,0,peck,0.5635858234885337,0.008898776418242438,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:03.454793,0,1,0,peck,0.6282140375260598,0.015572858731924377,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:03.627099,0,1,0,peck,0.6567060458651841,0.015572858731924377,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:04.377049,0,1,0,peck,0.03474635163307853,0.013348164627363768,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:04.586979,0,1,0,peck,0.017373175816539264,0.016685205784204626,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:04.760508,0,1,0,peck,0.01389854065323141,0.016685205784204626,False
30,[],3,30,5,38,3,100,100,1,,True,False,0:00:05.864308,0,1,0,peck,0.5246699096594858,0.6195773081201335,False
