reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:00.004583,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.399593,0,1,0,peck,0.6733842946490618,0.32035595105672965,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.500896,0,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.599918,0,1.0,1,peck,0.6733842946490618,0.32035595105672965,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.687139,0,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.761999,0,1.0,2,peck,0.6733842946490618,0.32035595105672965,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.860559,0,1.0,3,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.948175,0,1.0,3,peck,0.6733842946490618,0.32035595105672965,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.046288,0,1.0,4,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.132418,0,1.0,4,peck,0.6733842946490618,0.32035595105672965,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.231641,0,1.0,5,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.306704,0,1.0,5,peck,0.6733842946490618,0.32035595105672965,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.405911,0,1.0,6,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.493164,0,1.0,6,peck,0.6733842946490618,0.32035595105672965,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.579279,0,1.0,7,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.666836,0,1.0,7,peck,0.6733842946490618,0.32035595105672965,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.764582,0,1.0,8,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.850872,0,1.0,8,peck,0.6733842946490618,0.32035595105672965,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.937190,0,1.0,9,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.012492,0,1.0,9,peck,0.6733842946490618,0.32035595105672965,False
