reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:00.005646,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.493410,0,1,0,peck,0.6951388888888889,0.2911111111111111,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.590545,0,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.664659,0,1.0,1,peck,0.6881944444444444,0.3355555555555556,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.776745,0,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.886930,0,1.0,2,peck,0.6958333333333333,0.3322222222222222,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.950170,0,1.0,3,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.024280,0,1.0,3,peck,0.6958333333333333,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.111024,0,1.0,4,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.160065,0,1.0,4,peck,0.7055555555555556,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.223213,0,1.0,5,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.284205,0,1.0,5,peck,0.7118055555555556,0.35111111111111115,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.371232,0,1.0,6,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.800525,0,1.0,6,peck,0.31527777777777777,0.33444444444444443,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.912493,0,1.0,6,before,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.961646,0,1.0,6,peck,0.3,0.33777777777777773,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.023634,0,1.0,6,before,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.086037,0,1.0,6,peck,0.2986111111111111,0.3122222222222222,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.135678,0,1.0,6,before,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.569542,0,1.0,6,peck,0.7180555555555556,0.3455555555555555,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.680525,0,1.0,7,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.742228,0,1.0,7,peck,0.7111111111111111,0.31999999999999995,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.817745,0,1.0,8,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.903083,0,1.0,8,peck,0.7173611111111111,0.31666666666666665,False
