reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:00.006216,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.876084,0,1,0,peck,0.7263888888888889,0.24111111111111116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.888724,0,1,0,peck,0.7229166666666667,0.3622222222222222,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.920889,0,1,0,peck,0.7138888888888889,0.2566666666666667,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.921917,0,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.922944,0,1.0,1,peck,0.7138888888888889,0.3733333333333333,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.958632,0,1.0,1,peck,0.6923611111111111,0.28555555555555556,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.959722,0,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.960233,0,1.0,3,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.960233,0,1.0,3,peck,0.69375,0.4033333333333333,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.995413,0,1.0,3,peck,0.6770833333333334,0.31999999999999995,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.995918,0,1.0,4,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.996473,0,1.0,5,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.996982,0,1.0,5,peck,0.6784722222222223,0.4377777777777778,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.020249,0,1.0,5,peck,0.6756944444444445,0.3422222222222222,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.032956,0,1.0,6,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.033505,0,1.0,6,peck,0.6777777777777778,0.4633333333333334,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.070089,0,1.0,6,peck,0.6826388888888889,0.3522222222222222,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.082894,0,1.0,7,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.083409,0,1.0,7,peck,0.6840277777777778,0.4688888888888889,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.090811,0,1.0,7,peck,0.6916666666666667,0.3533333333333334,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.092385,0,1.0,8,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.093430,0,2.0,8,peck,0.6930555555555555,0.45999999999999996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.139845,0,2.0,8,peck,0.7,0.3533333333333334,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.140905,0,2.0,9,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.141443,0,2.0,9,peck,0.7013888888888888,0.45444444444444443,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.164818,0,2.0,9,peck,0.7041666666666667,0.35444444444444445,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.177418,0,2.0,10,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.177995,0,2.0,10,peck,0.7048611111111112,0.45444444444444443,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.214301,0,2.0,10,peck,0.7055555555555556,0.35444444444444445,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.215360,0,2.0,11,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.215944,0,2.0,11,peck,0.7069444444444445,0.45333333333333337,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.238530,0,2.0,11,peck,0.7104166666666667,0.3566666666666667,False
